product_name,product_href,product_new_price,product_old_price,product_discount
Диван Льери Мини Velvet Light,https://divan.ru/product/divan-leri-mini-velvet-light,44 990,74 990,40
Диван Милкен Velvet Yellow,https://divan.ru/product/divan-milken-velvet-yellow,32 990,54 990,40
Диван Кускен Velvet Grafit,https://divan.ru/product/divan-kusken-velvet-grafit,34 990,58 990,40
Диван Офра Happy Mint,https://divan.ru/product/divan-ofra-happy-mint,29 990,49 990,40
Диван Динс Мини Velvet Latte,https://divan.ru/product/divan-dins-mini-velvet-latte,39 990,66 990,40
Диван Динс Мини Barhat Blue,https://divan.ru/product/divan-dins-mini-barhat-blue,40 990,68 990,40
Диван Кускен Velvet Yellow,https://divan.ru/product/divan-kusken-velvet-yellow,34 990,58 990,40
Диван Динс Мини Velvet Yellow,https://divan.ru/product/divan-dins-mini-velvet-yellow,39 990,66 990,40
Диван Кускен Textile Cream,https://divan.ru/product/divan-kusken-textile-cream,34 990,58 990,40
Диван Льери Мини Velvet Emerald,https://divan.ru/product/divan-leri-mini-velvet-emerald,44 990,74 990,40
Диван Нумо Мини Time Mint,https://divan.ru/product/divan-numo-mini-time-mint,21 990,36 990,40
Диван Динен Velvet Olive,https://divan.ru/product/divan-dinen-velvet-olive,36 990,61 990,40
Кресло Роттердам Velvet Yellow,https://divan.ru/product/kreslo-rotterdam-velvet-yellow,11 990,19 990,40
Пуф Элви Velvet Coral,https://divan.ru/product/puf-elvi-velvet-coral,3490,5990,41
Диван Ситено Barhat Mint,https://divan.ru/product/divan-siteno-barhat-mint-old-24-08-2022,44 990,74 990,40
Диван Нумо Мини Time Blue,https://divan.ru/product/divan-numo-mini-time-blue,21 990,36 990,40
Диван Динс Мини Velvet Ocean,https://divan.ru/product/divan-dins-mini-velvet-ocean,39 990,66 990,40
Диван Льери Мини Velvet Coral,https://divan.ru/product/divan-leri-mini-velvet-coral,44 990,74 990,40
Диван Офра Happy Emerald,https://divan.ru/product/divan-ofra-happy-emerald,29 990,49 990,40
Диван Нумо Мини Time Pink,https://divan.ru/product/divan-numo-mini-time-pink,21 990,36 990,40
Диван Динен Velvet Navy Blue,https://divan.ru/product/divan-dinen-velvet-navy-blue,36 990,61 990,40
Диван Милкен Velvet Grafit,https://divan.ru/product/divan-milken-velvet-grafit,32 990,54 990,40
Диван Ситено Barhat Gold,https://divan.ru/product/divan-siteno-barhat-gold,44 990,74 990,40
Диван Нумо Time Pink,https://divan.ru/product/divan-numo-time-pink,29 990,49 990,40
Кресло Роттердам Velvet Black,https://divan.ru/product/kreslo-rotterdam-velvet-black,11 990,19 990,40
Пуф Элви Happy Light,https://divan.ru/product/puf-elvi-happy-light,3490,5990,41
Диван Милкен Textile Grey,https://divan.ru/product/divan-milken-textile-grey,32 990,54 990,40
Диван Ситено Barhat Stone,https://divan.ru/product/divan-siteno-barhat-stone,44 990,74 990,40
Диван Льери Мини Bucle White,https://divan.ru/product/divan-leri-mini-bucle-white,49 990,83 990,40
