product_name,product_href,product_new_price,product_old_price,product_discount
Подушка Винси Velvet Beige,https://divan.ru/product/podushka-vinsi-velvet-beige,1690,3090,45
Подушка Винси Velvet Pink,https://divan.ru/product/podushka-vinsi-velvet-pink,1690,3090,45
Подушка Винси Velvet Emerald,https://divan.ru/product/podushka-vinsi-velvet-emerald,1690,3090,45
Ковер Мейвори 160x230,https://divan.ru/product/kover-mejvori-160x230,11 990,19 990,40
Ковер двусторонний Кессел 160x230,https://divan.ru/product/kover-dvustoronnij-kessel-160x230,12 690,21 490,40
Подушка Винси Velvet Grey,https://divan.ru/product/podushka-vinsi-velvet-grey,1690,3090,45
Ковер Вейв 160x230,https://divan.ru/product/kover-vejv-160x230,11 990,19 990,40
Подушка Винси Barhat Green,https://divan.ru/product/podushka-vinsi-barhat-green,1690,3090,45
Ковер двусторонний Динлаур 160x230,https://divan.ru/product/kover-dvustoronnij-dinlaur-160x230,12 690,21 490,40
Подушка Винси Velvet Blue,https://divan.ru/product/podushka-vinsi-velvet-blue,1690,3090,45
Подушка Винси Velvet Stone,https://divan.ru/product/podushka-vinsi-velvet-stone,1690,3090,45
Ковер двусторонний Рино 160x230,https://divan.ru/product/kover-dvustoronnij-rino-160x230,12 690,21 490,40
Ковер Лаунд 160x230,https://divan.ru/product/kover-laund-160x230,11 990,19 990,40
Топпер для дивана Сони 1-XL Bathat Beige-Coral,https://divan.ru/product/topper-dlya-divana-soni-1-xl-bathat-beige-coral,5990,9990,40
Ковер двусторонний Лиссе 160x230,https://divan.ru/product/kover-dvustoronnij-lisse-160x230,11 990,19 990,40
Подушка Винси Barhat Forest,https://divan.ru/product/podushka-vinsi-barhat-forest,1690,3090,45
Подушка Винси Barhat Red,https://divan.ru/product/podushka-vinsi-barhat-red,1690,3090,45
Подушка Винси Velvet Yellow,https://divan.ru/product/podushka-vinsi-velvet-yellow,1690,3090,45
Топпер для дивана Сони 1-XL Bathat Beige-Grey,https://divan.ru/product/topper-dlya-divana-soni-1-xl-bathat-beige-grey,5990,9990,40
Топпер для дивана Сони 1-XL Bathat Yellow-Emerald,https://divan.ru/product/topper-dlya-divana-soni-1-xl-bathat-yellow-emerald,5990,9990,40
Топпер для дивана Сони 1-XL Bathat Ocean-Grey,https://divan.ru/product/topper-dlya-divana-soni-1-xl-bathat-ocean-grey,5990,9990,40
Топпер для дивана Сони 1-XL Bathat Yellow-Grey,https://divan.ru/product/topper-dlya-divana-soni-1-xl-bathat-yellow-grey,5990,9990,40
Ковер Дентон 160x230,https://divan.ru/product/kover-denton-160x230,11 990,19 990,40
Ковер Лаунлини 160x230,https://divan.ru/product/kover-launlini-160x230,11 990,19 990,40
Ковер Флау 160x230,https://divan.ru/product/kover-flau-160x230,11 990,19 990,40
Топпер для дивана Сони XL Barhat Yellow,https://divan.ru/product/topper-dlya-divana-soni-xl-barhat-yellow,2990,4990,40
Ковер Дени 160x230,https://divan.ru/product/kover-deni-160x230,11 990,19 990,40
Ковер Лоуэлл 160x230,https://divan.ru/product/kover-louell-160x230,11 990,19 990,40
Ковер Боник 160x230,https://divan.ru/product/kover-bonik-160x230,11 990,19 990,40
Топпер для дивана Сони XL Barhat Beige,https://divan.ru/product/topper-dlya-divana-soni-xl-barhat-beige,2990,4990,40
Ковер Клейн 160x230,https://divan.ru/product/kover-klejn-160x230,11 990,19 990,40
Топпер для дивана Сони XL Barhat Coral,https://divan.ru/product/topper-dlya-divana-soni-xl-barhat-coral,2990,4990,40
Ковер Арнес 160x230,https://divan.ru/product/kover-arnes-160x230,12 990,21 990,40
Подушка Деко 40х40 Happy Light,https://divan.ru/product/podushka-deko-40h40-happy-light,990,1890,47
Ковер двусторонний Гревен 160x230,https://divan.ru/product/kover-dvustoronnij-greven-160x230,12 690,21 490,40
