product_name,product_href,product_new_price,product_old_price,product_discount
Матрас Эсенс 180x200,https://divan.ru/product/matras-esens-180x200,28 990,51 990,44
Матрас Sleeper 160x200,https://divan.ru/product/matras-sleeper-160,39 990,69 990,42
Матрас Энлейв 160x200,https://divan.ru/product/matras-enlejv-160x200,24 990,41 990,40
Матрас Эсенс 160x200,https://divan.ru/product/matras-esens-160x200,25 990,46 990,44
Кровать Лосон 180 Velvet Mustard,https://divan.ru/product/krovat-loson-180-velvet-mustard,26 990,45 990,41
Кровать Марелл 160 Happy Ocean,https://divan.ru/product/krovat-marell-160-happy-ocean,22 990,38 990,41
Матрас Эслекс 140x200,https://divan.ru/product/matras-esleks-140x200,19 990,33 890,41
Кровать Лосон 180 Velvet Blue,https://divan.ru/product/krovat-loson-180-velvet-blue,26 990,45 990,41
Матрас Элиот 200x200,https://divan.ru/product/matras-eliot-200x200,42 990,76 990,44
Кровать Майтон 180 Velvet Navy Blue,https://divan.ru/product/krovat-majton-180-velvet-navy-blue,26 990,45 990,41
Матрас Кайм 180x200,https://divan.ru/product/matras-kajm-180x200,38 990,70 290,44
Матрас Эслаун 160x200,https://divan.ru/product/matras-eslaun-160x200,29 990,60 990,50
Матрас Монлей 160x200,https://divan.ru/product/matras-monlej-160x200,57 990,102 290,43
Кровать Плиди 140 Velvet Light,https://divan.ru/product/krovat-plidi-140-velvet-light,26 990,45 990,41
Матрас Монлей 140x200,https://divan.ru/product/matras-monlej-140x200,49 990,89 990,44
Матрас Кайм 90x200,https://divan.ru/product/matras-kajm-90x200,21 990,38 490,42
Матрас Риас 160x200,https://divan.ru/product/matras-rias-160x200,25 990,46 990,44
Матрас Лауна 80x200,https://divan.ru/product/matras-launa-80x200,10 990,18 690,41
Кровать Весмар 140 Velvet Emerald,https://divan.ru/product/krovat-vesmar-140-velvet-emerald,26 990,44 990,40
Матрас Эслекс 160x200,https://divan.ru/product/matras-esleks-160x200,21 990,36 990,40
Матрас Дейвор 160x200,https://divan.ru/product/matras-dejvor-160x200,49 990,83 690,40
Матрас Sleeper 140x200,https://divan.ru/product/matras-sleeper-140,36 990,66 990,44
Кровать Майтон 160 Velvet Yellow,https://divan.ru/product/krovat-majton-160-velvet-yellow,24 990,43 990,43
Матрас Кайм 160x200,https://divan.ru/product/matras-kajm-160x200,31 990,56 990,43
Кровать Лосон 160 Velvet Blue,https://divan.ru/product/krovat-loson-160-velvet-blue,24 990,43 990,43
Кровать Плиди 160 Velvet Light,https://divan.ru/product/krovat-plidi-160-velvet-light,27 990,47 990,41
Кровать Весмар 140 Velvet Grey,https://divan.ru/product/krovat-vesmar-140-velvet-grey,26 990,44 990,40
Матрас Элиот 80x200,https://divan.ru/product/matras-eliot-80x200,20 990,36 990,43
Матрас Баунс 160x200,https://divan.ru/product/matras-bauns-160x200,59 990,100 990,40
Матрас Лауна 90x200,https://divan.ru/product/matras-launa-90x200,11 990,20 290,40
Матрас Sleeper 80x200,https://divan.ru/product/matras-sleeper-80,23 990,43 990,45
